0,x,lat,lng
1,Port Stanley,42.6641353,-81.21563290000002
2,Mallorytown,44.47933099999999,-75.884855
3,Meaford,44.6059438,-80.5936871
4,Dwight,45.330991,-79.011499
5,Dorset,45.2444301,-78.8939439
6,Whitby,43.8975446,-78.94293290000002
7,Hanover,44.1526004,-81.0254145
8,Hemlo,48.683333,-85.983333
9,Galt,43.360053,-80.30623899999999
10,Stevensville,42.9431754,-79.05512329999999
11,Casselman,45.3107048,-75.0893653
12,Manotick,45.2274934,-75.72293119999999
13,Morrisburg,44.89778889999999,-75.1833966
14,Palmer Rapids,45.316667,-77.516667
15,Kingsville,42.0378703,-82.7396377
16,Caledonia,43.0647528,-79.95507479999999
17,Atwood,43.6693271,-81.017763
18,Millbrook,44.15055,-78.44886770000001
19,Rockwood,43.61887,-80.144189
20,Yarker,44.371583,-76.7702751
21,Tara,44.4820219,-81.1467819
22,Sunderland,44.2628301,-79.0663132
23,Thorold,43.1236091,-79.1989299
24,Elora,43.683715,-80.43054269999999
25,Creemore,44.3272376,-80.1061859
26,Paquette Corner,42.17637999999999,-82.964381
28,Harrietsville,42.908852,-81.00229
29,Foleyet,48.243889,-82.439722
31,Pelham,43.037222,-79.328764
32,Madoc,44.5052295,-77.47263629999999
33,Seeleys Bay,44.4778213,-76.234386
34,North Bay,46.3091152,-79.4608204
35,Dunnville,42.9035374,-79.6170044
36,Iroquois Falls,48.7679814,-80.6731665
37,Foymount,45.437767,-77.3061649
38,Port Cunnington,45.266667,-79.03333300000001
39,Port Dover,42.7865225,-80.20327790000002
40,Oakville,43.467517,-79.6876659
41,Humphrey,45.2891905,-79.81249249999999
42,Alderville First Nation,44.1728865,-78.0851607
43,Southampton,44.4948543,-81.3695635
44,Cobalt,47.3953302,-79.6860815
45,Hearst,49.6880184,-83.66695519999999
46,Tavistock,43.2470056,-80.7879407
47,Chatsworth,44.3716712,-80.8543847
48,Oba,49.05833089999999,-84.10295959999999
49,Avonmore,45.17213,-74.967192
50,Douglastown,42.974767,-79.025764
51,Barry`s Bay,45.4882068,-77.67880509999999
52,Beeton,44.07916160000001,-79.78431499999999
53,Temagami,47.0633734,-79.7895671
54,Utterson,45.21106,-79.32926499999999
55,Thessalon First Nation,46.2451906,-83.4168164
56,Bracebridge,45.0389565,-79.3078787
57,Dundas,43.26650890000001,-79.9568685
58,Woodville,44.3971855,-78.9952754
59,Courtright,42.8190627,-82.46793939999999
60,Marten River,46.73331899999999,-79.8017309
61,Cold Springs,44.066396,-78.21017599999999
62,Grand Bend,43.3130397,-81.75622419999999
63,Wainfleet,42.923366,-79.3757559
64,Thornhill,43.8142552,-79.424025
65,Hagersville,42.9598903,-80.0522861
66,Virginiatown,48.133333,-79.583333
67,Queenston,43.1690076,-79.0574436
68,Morson,49.097745,-94.315207
69,Lucan,43.215177,-81.36194019999999
70,Bradford West Gwillimbury,44.114899,-79.5629529
71,Fort Erie,42.9017764,-78.9721745
72,Haldimand,42.9276849,-79.87619699999999
73,Redbridge,46.3863047,-79.2569657
74,Thurlow,44.17516800000001,-77.30447
75,Wallaceburg,42.5926445,-82.38825290000001
76,Navan,45.421034,-75.4267251
78,Seaforth,43.5534346,-81.3934049
79,Brigden,42.814509,-82.2817874
80,St. Isidore de Prescott,45.388496,-74.907358
81,Haileybury,47.4463218,-79.6354588
82,Little Britain,44.28548199999999,-78.859771
83,Fingal,42.712527,-81.310902
84,Adolphustown,44.06373,-77.00655990000001
85,Smiths Falls,44.903748,-76.02161889999999
86,North Gower,45.1314849,-75.7161333
87,Exeter,43.3472758,-81.4805653
88,Kincardine,44.1752954,-81.6365715
89,Holstein,44.0597897,-80.7598221
90,Queensville,44.14026399999999,-79.453227
91,Winchester,45.0732581,-75.36307860000001
92,Upsala,49.05008429999999,-90.47160509999999
93,Pleasant Park,42.217173,-82.801463
94,Ancaster,43.2177791,-79.98728349999999
95,Keewatin,49.7586397,-94.55658439999999
96,Macdiarmid,49.436801,-88.1292129
98,Emsdale,45.529018,-79.31709599999999
99,Kinmount,44.781668,-78.65149699999999
100,Killarney,45.97191369999999,-81.5114972
